amr_id,task_id,sequence_order,segment_type,path_uid,sample_index,absolute_time,offset_time,x,y,theta,speed,footprint_radius
AMR4,T04,1,transition,vg::CHG2__P8__path_1,21,2.1,2.1,8.823554599612095,2.303131945855342,1.647243,1.100000140008503,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,0,2.143,0.0,8.85,2.35,-1.570796,0.0,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,22,2.143,2.143,8.82,2.35,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,22,2.2,2.2,1.8118000000000003,2.2476000000000003,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,22,2.2,2.2,2.1946000000000003,5.1530000000000005,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,22,2.2,2.2,2.7849600000000003,0.8563600000000002,0.447356,0.9000000000000001,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,1,2.243,0.1,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,23,2.3,2.3,1.8942000000000003,2.3044,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,23,2.3,2.3,2.2944000000000004,5.16,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,23,2.3,2.3,2.8662142857142863,0.8953571428571431,0.447356,0.9000000000000001,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,2,2.343,0.2,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,24,2.4,2.4,1.9766000000000004,2.3612,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,24,2.4,2.4,2.3942000000000005,5.167000000000001,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,24,2.4,2.4,2.947489795918368,0.934387755102041,0.447356,0.9000000000000001,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,0,2.44,0.0,2.95,0.95,2.356194,0.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,25,2.44,2.44,2.98,0.95,0.447356,0.9000000000000001,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,3,2.443,0.3,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,25,2.5,2.5,2.059,2.418,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,25,2.5,2.5,2.494,5.174,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,1,2.54,0.1,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,4,2.543,0.4,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,26,2.6,2.6,2.1414000000000004,2.4746,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,26,2.6,2.6,2.5938000000000003,5.181,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,2,2.64,0.2,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,5,2.643,0.5,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,27,2.7,2.7,2.2238,2.5312,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,27,2.7,2.7,2.6936000000000004,5.188,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,3,2.74,0.3,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,6,2.743,0.6,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,28,2.8,2.8,2.3062000000000005,2.5878,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,28,2.8,2.8,2.7934,5.195,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,4,2.84,0.4,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,7,2.843,0.7,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,29,2.9,2.9,2.3886000000000003,2.6444,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,29,2.9,2.9,2.8932,5.202,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,5,2.94,0.5,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,8,2.943,0.8,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,30,3.0,3.0,2.471,2.701,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,30,3.0,3.0,2.993,5.209,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,6,3.04,0.6,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,9,3.043,0.9,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,31,3.1,3.1,2.5534000000000003,2.7578,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,31,3.1,3.1,3.0926,5.215999999999999,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,7,3.14,0.7,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,10,3.143,1.0,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,32,3.2,3.2,2.6358,2.8146,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,32,3.2,3.2,3.1922,5.223,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,8,3.24,0.8,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,11,3.243,1.1,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,33,3.3,3.3,2.7182000000000004,2.8714,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,33,3.3,3.3,3.2918000000000003,5.23,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,9,3.34,0.9,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,12,3.343,1.2,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,34,3.4,3.4,2.8006,2.9282,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,34,3.4,3.4,3.3914000000000004,5.237,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,10,3.44,1.0,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,13,3.443,1.3,8.85,2.35,-1.570796,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,35,3.5,3.5,2.883,2.985,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,35,3.5,3.5,3.491,5.244,0.069719,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,11,3.54,1.1,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,14,3.543,1.4,8.85,2.35,-1.570796,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,0,3.589,0.0,3.55,5.25,-2.356194,0.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,36,3.589,3.589,3.58,5.25,0.069719,1.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,36,3.6,3.6,2.9758,3.008,0.4823863999999999,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,12,3.64,1.2,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,15,3.643,1.5,8.85,2.35,-1.570796,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,1,3.689,0.1,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,37,3.7,3.7,3.0686,3.031,0.3617897999999998,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,13,3.74,1.3,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,16,3.743,1.6,8.85,2.35,-1.570796,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,2,3.789,0.2,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,38,3.8,3.8,3.1614000000000004,3.0540000000000003,0.2411931999999997,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,14,3.84,1.4,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,17,3.843,1.7,8.85,2.35,-1.570796,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,3,3.889,0.3,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,39,3.9,3.9,3.2542000000000004,3.077,0.1205965999999995,1.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,15,3.94,1.5,2.95,0.95,2.356194,0.0,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,18,3.943,1.8,8.85,2.35,-1.570796,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,4,3.989,0.4,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,40,4.0,4.0,3.347,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,0,4.0,0.0,8.85,2.35,-1.570796,0.0,0.25
