path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,distance,travel_time,turn_count,turn_cost,risk_cost,narrow_count,dynamic_count,lockable_count,bottleneck_capacity,total_cost
P8__P6__path_1,P8,P6,path_1,1,dijkstra_total+k_shortest_total,P8->P9->P6,e19->e17,e19@0-2;e17@2-4,P8@0;P9@2;P6@4,4.0,4.0,1,0.5,2.0,0,0,0,2,6.5
P8__P6__path_2,P8,P6,path_2,2,k_shortest_total,P8->SORT2->P9->P6,e22->e23->e17,e22@0-3;e23@3-6;e17@6-8,P8@0;SORT2@3;P9@6;P6@8,6.4,8.0,2,1.0,3.0,0,0,0,2,12.0
P8__P6__path_3,P8,P6,path_3,3,dijkstra_time+k_shortest_total,P8->P5->P6,e16->e14,e16@0-2;e14@2-4,P8@0;P5@2;P6@4,4.0,4.0,1,0.5,6.0,1,1,1,1,14.5
P8__P7__path_1,P8,P7,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->P7,e18,e18@0-2,P8@0;P7@2,2.0,2.0,0,0.0,1.0,0,0,0,2,3.0
P8__P7__path_2,P8,P7,path_2,2,k_shortest_total,P8->SORT1->P7,e21->e20,e21@0-3;e20@3-6,P8@0;SORT1@3;P7@6,4.4,6.0,1,0.5,2.0,0,0,0,2,8.5
P8__P7__path_3,P8,P7,path_3,3,k_shortest_total,P8->P5->P4->P7,e16->e13->e15,e16@0-2;e13@2-4;e15@4-6,P8@0;P5@2;P4@4;P7@6,6.0,6.0,2,1.0,7.0,1,1,1,1,18.0
P8__P9__path_1,P8,P9,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->P9,e19,e19@0-2,P8@0;P9@2,2.0,2.0,0,0.0,1.0,0,0,0,2,3.0
P8__P9__path_2,P8,P9,path_2,2,k_shortest_total,P8->SORT2->P9,e22->e23,e22@0-3;e23@3-6,P8@0;SORT2@3;P9@6,4.4,6.0,1,0.5,2.0,0,0,0,2,8.5
P8__P9__path_3,P8,P9,path_3,3,k_shortest_total,P8->P5->P6->P9,e16->e14->e17,e16@0-2;e14@2-4;e17@4-6,P8@0;P5@2;P6@4;P9@6,6.0,6.0,2,1.0,7.0,1,1,1,1,18.0
P8__SORT1__path_1,P8,SORT1,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->SORT1,e21,e21@0-3,P8@0;SORT1@3,2.2,3.0,0,0.0,1.0,0,0,0,2,4.0
P8__SORT1__path_2,P8,SORT1,path_2,2,k_shortest_total,P8->P7->SORT1,e18->e20,e18@0-2;e20@2-5,P8@0;P7@2;SORT1@5,4.2,5.0,1,0.5,2.0,0,0,0,2,7.5
P8__SORT1__path_3,P8,SORT1,path_3,3,k_shortest_total,P8->P5->P4->P7->SORT1,e16->e13->e15->e20,e16@0-2;e13@2-4;e15@4-6;e20@6-9,P8@0;P5@2;P4@4;P7@6;SORT1@9,8.2,9.0,3,1.5,8.0,1,1,1,1,22.5
P8__SORT2__path_1,P8,SORT2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->SORT2,e22,e22@0-3,P8@0;SORT2@3,2.2,3.0,0,0.0,1.0,0,0,0,2,4.0
P8__SORT2__path_2,P8,SORT2,path_2,2,k_shortest_total,P8->P9->SORT2,e19->e23,e19@0-2;e23@2-5,P8@0;P9@2;SORT2@5,4.2,5.0,1,0.5,2.0,0,0,0,2,7.5
P8__SORT2__path_3,P8,SORT2,path_3,3,k_shortest_total,P8->P5->P6->P9->SORT2,e16->e14->e17->e23,e16@0-2;e14@2-4;e17@4-6;e23@6-9,P8@0;P5@2;P6@4;P9@6;SORT2@9,8.2,9.0,3,1.5,8.0,1,1,1,1,22.5
P8__OUT1__path_1,P8,OUT1,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->SORT1->OUT1,e21->e24,e21@0-3;e24@3-5,P8@0;SORT1@3;OUT1@5,4.2,5.0,1,0.5,2.0,0,0,0,1,7.5
P8__OUT1__path_2,P8,OUT1,path_2,2,k_shortest_total,P8->P7->SORT1->OUT1,e18->e20->e24,e18@0-2;e20@2-5;e24@5-7,P8@0;P7@2;SORT1@5;OUT1@7,6.2,7.0,2,1.0,3.0,0,0,0,1,11.0
P8__OUT1__path_3,P8,OUT1,path_3,3,k_shortest_total,P8->P5->P4->P7->SORT1->OUT1,e16->e13->e15->e20->e24,e16@0-2;e13@2-4;e15@4-6;e20@6-9;e24@9-11,P8@0;P5@2;P4@4;P7@6;SORT1@9;OUT1@11,10.2,11.0,4,2.0,9.0,1,1,1,1,26.0
P8__OUT2__path_1,P8,OUT2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->SORT2->OUT2,e22->e25,e22@0-3;e25@3-5,P8@0;SORT2@3;OUT2@5,4.2,5.0,1,0.5,2.0,0,0,0,1,7.5
P8__OUT2__path_2,P8,OUT2,path_2,2,k_shortest_total,P8->P9->SORT2->OUT2,e19->e23->e25,e19@0-2;e23@2-5;e25@5-7,P8@0;P9@2;SORT2@5;OUT2@7,6.2,7.0,2,1.0,3.0,0,0,0,1,11.0
P8__OUT2__path_3,P8,OUT2,path_3,3,k_shortest_total,P8->P5->P6->P9->SORT2->OUT2,e16->e14->e17->e23->e25,e16@0-2;e14@2-4;e17@4-6;e23@6-9;e25@9-11,P8@0;P5@2;P6@4;P9@6;SORT2@9;OUT2@11,10.2,11.0,4,2.0,9.0,1,1,1,1,26.0
P8__CHG1__path_1,P8,CHG1,path_1,1,dijkstra_total+k_shortest_total,P8->P7->P4->P1->J1->CHG1,e18->e15->e10->e05->e26,e18@0-2;e15@2-4;e10@4-6;e05@6-8;e26@8-10,P8@0;P7@2;P4@4;P1@6;J1@8;CHG1@10,9.4,10.0,2,1.0,6.0,1,0,0,1,18.0
P8__CHG1__path_2,P8,CHG1,path_2,2,k_shortest_total,P8->SORT1->P7->P4->P1->J1->CHG1,e21->e20->e15->e10->e05->e26,e21@0-3;e20@3-6;e15@6-8;e10@8-10;e05@10-12;e26@12-14,P8@0;SORT1@3;P7@6;P4@8;P1@10;J1@12;CHG1@14,11.8,14.0,3,1.5,7.0,1,0,0,1,23.5
P8__CHG1__path_3,P8,CHG1,path_3,3,k_shortest_total,P8->P5->P2->P1->J1->CHG1,e16->e11->e08->e05->e26,e16@0-2;e11@2-4;e08@4-6;e05@6-8;e26@8-10,P8@0;P5@2;P2@4;P1@6;J1@8;CHG1@10,9.4,10.0,3,1.5,9.0,1,1,1,1,24.5
