instance,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,empty_distance,loaded_distance,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info
amr_n5,m1,mixed,12,5,30.084,0,0,0,0.0,0.0,0.0,0.0,39.30596,72.72,81.119,64.22,69.619,153.1628,4.457273,7.298182,196.529798,371.584618,{'solve_seconds': 30.084}
amr_n5,m2,mixed,12,5,56.36,0,0,0,0.0,0.0,0.0,0.0,34.189222,58.389,81.119,52.389,69.619,141.3318,8.604545,1.39003,170.946111,272.010103,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 170.94611, 'f3': 258.1098}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 56.359}"
amr_n5,m3,mixed,12,5,0.226,0,0,0,0.0,0.0,0.0,0.0,34.189222,58.389,81.119,52.389,69.619,141.3318,8.604545,1.39003,170.946111,272.010103,"{'solve_seconds': 0.226, 'local_search_iterations': 6}"
amr_n6,m1,mixed,12,6,30.089,0,0,0,0.0,0.0,0.0,0.0,43.057475,65.385,81.119,57.885,69.619,146.8278,23.121939,19.50303,215.287374,472.628103,{'solve_seconds': 30.089}
amr_n6,m2,mixed,12,6,55.918,0,0,0,0.0,0.0,0.0,0.0,28.448642,58.222,81.119,52.222,69.619,141.1648,9.212556,1.313187,142.24321,270.740674,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 142.24321, 'f3': 257.6088}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 55.917}"
amr_n6,m3,mixed,12,6,0.186,0,0,0,0.0,0.0,0.0,0.0,28.448642,58.222,81.119,52.222,69.619,141.1648,9.212556,1.313187,142.24321,270.740674,"{'solve_seconds': 0.186, 'local_search_iterations': 4}"
tasks_n6_s0,m1,mixed,6,4,0.368,0,0,0,0.0,0.0,0.0,0.0,32.201778,30.567,47.633,28.067,40.633,80.0266,0.868889,13.277333,161.008889,273.933933,{'solve_seconds': 0.313}
tasks_n6_s0,m2,mixed,6,4,11.019,0,0,0,0.0,0.0,0.0,0.0,27.981333,34.276,64.618,30.276,42.618,84.6176,1.097,6.950222,139.906667,222.671822,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 139.906665, 'f3': 156.4676}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Optimal Solution Found', 'f3': 'Optimal Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 11.017}"
tasks_n6_s0,m3,mixed,6,4,0.044,0,0,0,0.0,0.0,0.0,0.0,27.981333,34.276,64.618,30.276,42.618,84.6176,1.097,6.950222,139.906667,222.671822,"{'solve_seconds': 0.044, 'local_search_iterations': 7}"
tasks_n6_s1,m1,mixed,6,4,0.193,0,0,0,0.0,0.0,0.0,0.0,25.027374,40.459,27.91,34.959,25.41,68.051,0.857273,8.121818,125.136869,230.187182,{'solve_seconds': 0.193}
