sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
132,sobol,0.9495096523,0.392901795,0.9374546809,6,13,3,s1_m06_n13_cap3,32.228889,0.0,32,1,round unit-hypercube coordinate to nearest configured discrete level
133,sobol,0.9495096523,0.9445047509,0.9374546809,6,15,3,s1_m06_n15_cap3,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
134,sobol,0.1913639558,0.392901795,0.9374546809,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
135,sobol,0.1913639558,0.9445047509,0.3820500001,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
136,sobol,0.1913639558,0.9445047509,0.9374546809,4,15,3,s1_m04_n15_cap3,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
137,sobol,0.0776257841,0.9002010925,0.9767014813,3,15,3,s1_m03_n15_cap3,92.438395,156.222022,2,1,round unit-hypercube coordinate to nearest configured discrete level
138,sobol,0.5037580328,0.9002010925,0.9767014813,5,15,3,s1_m05_n15_cap3,67.051667,6.051667,19,1,round unit-hypercube coordinate to nearest configured discrete level
139,sobol,0.0776257841,0.318244704,0.9767014813,3,13,3,s1_m03_n13_cap3,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
140,sobol,0.0776257841,0.9002010925,0.2804116104,3,15,2,s1_m03_n15_cap2,92.438395,156.222022,2,1,round unit-hypercube coordinate to nearest configured discrete level
141,sobol,0.0776257841,0.318244704,0.2804116104,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
142,sobol,0.5037580328,0.9002010925,0.2804116104,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
143,sobol,0.5037580328,0.318244704,0.9767014813,5,13,3,s1_m05_n13_cap3,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
144,sobol,0.5037580328,0.318244704,0.2804116104,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
145,sobol,0.4166208683,0.196333847,0.0544482227,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
146,sobol,0.491160579,0.196333847,0.0544482227,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
147,sobol,0.4166208683,0.0603873581,0.0544482227,4,12,1,s1_m04_n12_cap1,46.59697,0.0,0,1,round unit-hypercube coordinate to nearest configured discrete level
148,sobol,0.4166208683,0.196333847,0.104985375,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
149,sobol,0.4166208683,0.0603873581,0.104985375,4,12,1,s1_m04_n12_cap1,46.59697,0.0,0,1,round unit-hypercube coordinate to nearest configured discrete level
150,sobol,0.491160579,0.196333847,0.104985375,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
151,sobol,0.491160579,0.0603873581,0.0544482227,4,12,1,s1_m04_n12_cap1,46.59697,0.0,0,1,round unit-hypercube coordinate to nearest configured discrete level
152,sobol,0.491160579,0.0603873581,0.104985375,4,12,1,s1_m04_n12_cap1,46.59697,0.0,0,1,round unit-hypercube coordinate to nearest configured discrete level
153,sobol,0.5407096315,0.690007044,0.5867813379,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
154,sobol,0.8035850581,0.690007044,0.5867813379,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
155,sobol,0.5407096315,0.6866288101,0.5867813379,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
156,sobol,0.5407096315,0.690007044,0.6985528367,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
157,sobol,0.5407096315,0.6866288101,0.6985528367,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
158,sobol,0.8035850581,0.690007044,0.6985528367,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
159,sobol,0.8035850581,0.6866288101,0.5867813379,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
160,sobol,0.8035850581,0.6866288101,0.6985528367,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
161,sobol,0.6515881866,0.0698492834,0.7911245087,5,12,3,s1_m05_n12_cap3,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
162,sobol,0.951324665,0.0698492834,0.7911245087,6,12,3,s1_m06_n12_cap3,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
163,sobol,0.6515881866,0.6034519626,0.7911245087,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
164,sobol,0.6515881866,0.0698492834,0.8478695108,5,12,3,s1_m05_n12_cap3,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
165,sobol,0.6515881866,0.6034519626,0.8478695108,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
166,sobol,0.951324665,0.0698492834,0.8478695108,6,12,3,s1_m06_n12_cap3,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
167,sobol,0.951324665,0.6034519626,0.7911245087,6,14,3,s1_m06_n14_cap3,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
168,sobol,0.951324665,0.6034519626,0.8478695108,6,14,3,s1_m06_n14_cap3,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
169,sobol,0.2734701494,0.5743259713,0.3173865145,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
170,sobol,0.2636938309,0.5743259713,0.3173865145,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
171,sobol,0.2734701494,0.2296256982,0.3173865145,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
172,sobol,0.2734701494,0.5743259713,0.4422903303,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
173,sobol,0.2734701494,0.2296256982,0.4422903303,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
