run_key,seed,m,n,cap_cluster,cluster_id,method,p1_algorithm,p3_mode,Cmax,total_delay,remaining_conflicts,total_wait_added,solve_time_p2,solve_time_p3,solve_time_total,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,p2_feasible,conflict_free,feasible,case_tasks_csv,case_amrs_csv,case_output_dir,source
s1_m05_n15_cap1,1,5,15,1,C03,m2,mixed,wait_reroute_resequence,71.449,40.185444,25,29.0,57.666,9.016357,66.693021,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n15_cap1,p5_stage5_true_p2_p3_run
s1_m05_n15_cap2,1,5,15,2,C03,m2,mixed,wait_reroute_resequence,67.051667,6.051667,20,33.0,57.638,9.803577,67.451952,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n15_cap2,p5_stage5_true_p2_p3_run
s1_m05_n15_cap3,1,5,15,3,C03,m2,mixed,wait_reroute_resequence,67.051667,6.051667,19,32.0,57.57,10.548499,68.128451,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_05_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m05_n15_cap3,p5_stage5_true_p2_p3_run
s1_m06_n12_cap1,1,6,12,1,C03,m2,mixed,wait_reroute_resequence,39.388222,1.388222,53,13.0,58.341,6.52672,64.879002,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n12_cap1,p5_stage5_true_p2_p3_run
s1_m06_n12_cap2,1,6,12,2,C03,m2,mixed,wait_reroute_resequence,39.388222,1.388222,51,12.0,58.325,5.299936,63.638223,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n12_cap2,p5_stage5_true_p2_p3_run
s1_m06_n12_cap3,1,6,12,3,C03,m2,mixed,wait_reroute_resequence,39.388222,1.388222,51,12.0,58.389,4.478654,62.877777,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n12_cap3,p5_stage5_true_p2_p3_run
s1_m06_n13_cap1,1,6,13,1,C03,m2,mixed,wait_reroute_resequence,32.228889,0.0,42,6.0,58.398,8.880374,67.288763,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n13_cap1,p5_stage5_true_p2_p3_run
s1_m06_n13_cap2,1,6,13,2,C03,m2,mixed,wait_reroute_resequence,32.228889,0.0,36,6.0,58.376,9.092562,67.479655,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n13_cap2,p5_stage5_true_p2_p3_run
s1_m06_n13_cap3,1,6,13,3,C03,m2,mixed,wait_reroute_resequence,32.228889,0.0,32,6.0,58.4,8.773847,67.183828,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n13_cap3,p5_stage5_true_p2_p3_run
s1_m06_n14_cap1,1,6,14,1,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,59,21.0,57.893,8.776007,66.679069,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n14_cap1,p5_stage5_true_p2_p3_run
s1_m06_n14_cap2,1,6,14,2,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,52,21.0,57.944,8.243338,66.197913,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n14_cap2,p5_stage5_true_p2_p3_run
s1_m06_n14_cap3,1,6,14,3,C03,m2,mixed,wait_reroute_resequence,54.189223,11.29589,52,21.0,58.114,7.684541,65.808109,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n14_cap3,p5_stage5_true_p2_p3_run
s1_m06_n15_cap1,1,6,15,1,C03,m2,mixed,wait_reroute_resequence,59.189223,21.29589,40,27.0,57.73,8.568699,66.309863,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n15_cap1,p5_stage5_true_p2_p3_run
s1_m06_n15_cap2,1,6,15,2,C03,m2,mixed,wait_reroute_resequence,55.189223,13.29589,38,23.0,57.638,8.529354,66.17844,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n15_cap2,p5_stage5_true_p2_p3_run
s1_m06_n15_cap3,1,6,15,3,C03,m2,mixed,wait_reroute_resequence,55.189223,13.29589,38,23.0,57.726,8.661538,66.39821,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_06_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m06_n15_cap3,p5_stage5_true_p2_p3_run
