path_uid,from_node,to_node,path_id,rank_by_total,algorithm,path_geometry,grid_cell_sequence,trajectory_sample_count,distance,travel_time,turn_count,turn_cost,risk_cost,dynamic_cost,total_cost,planning_status,start_cell,goal_cell
P8__P1__path_1,P8,P1,path_1,1,davg,"8.82,2.35;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;2.98,0.95",,18,8.16,8.16,4,1.507,0.0,0.0,9.667,ok,,
P8__P2__path_1,P8,P2,path_1,1,davg,"8.82,2.35;8.80,3.20;7.35,3.20;6.50,2.75;5.05,2.75;4.52,2.35",,12,5.376,5.376,4,1.584,0.0,0.0,6.96,ok,,
P8__P3__path_1,P8,P3,path_1,1,davg,"8.82,2.35;8.80,3.20;6.50,4.00;3.65,4.25;3.58,5.25",,16,7.149,7.149,3,1.437,0.0,0.0,8.585,ok,,
P8__P4__path_1,P8,P4,path_1,1,davg,"8.82,2.35;8.80,0.55;6.75,0.40;5.05,0.40;4.98,1.35",,15,6.508,6.508,3,1.528,0.0,0.0,8.037,ok,,
P8__P5__path_1,P8,P5,path_1,1,davg,"8.82,2.35;8.80,3.20;6.50,4.00;5.62,4.10",,10,4.171,4.171,2,0.717,0.0,0.0,4.888,ok,,
P8__P6__path_1,P8,P6,path_1,1,davg,"8.82,2.35;8.80,3.20;8.20,5.70;7.98,5.72",,9,3.642,3.642,2,0.728,0.0,0.0,4.37,ok,,
P8__P7__path_1,P8,P7,path_1,1,davg,"8.82,2.35;8.80,0.55;7.35,0.55;7.28,1.00",,9,3.706,3.706,2,1.488,0.0,0.0,5.194,ok,,
P8__P9__path_1,P8,P9,path_1,1,davg,"8.82,2.35;8.80,3.20;6.15,4.15;6.08,5.05",,11,4.568,4.568,2,1.176,0.0,0.0,5.744,ok,,
P8__SORT1__path_1,P8,SORT1,path_1,1,davg,"8.82,2.35;9.72,2.16",,3,0.92,0.92,0,0.0,0.0,0.0,0.92,ok,,
P8__SORT2__path_1,P8,SORT2,path_1,1,davg,"8.82,2.35;10.36,4.05",,6,2.294,2.294,0,0.0,0.0,0.0,2.294,ok,,
P8__OUT1__path_1,P8,OUT1,path_1,1,davg,"8.82,2.35;12.00,2.00",,8,3.199,3.199,0,0.0,0.0,0.0,3.199,ok,,
P8__OUT2__path_1,P8,OUT2,path_1,1,davg,"8.82,2.35;12.00,4.00",,9,3.583,3.583,0,0.0,0.0,0.0,3.583,ok,,
P8__CHG1__path_1,P8,CHG1,path_1,1,davg,"8.82,2.35;8.80,0.55;6.75,0.40;1.00,0.00",,21,9.619,9.619,2,0.745,0.0,0.0,10.365,ok,,
P8__CHG2__path_1,P8,CHG2,path_1,1,davg,"8.82,2.35;9.00,0.00",,6,2.357,2.357,0,0.0,0.0,0.0,2.357,ok,,
P9__IN1__path_1,P9,IN1,path_1,1,davg,"6.08,5.05;5.50,4.25;4.85,4.00;3.05,3.10;0.00,1.00",,16,7.4,7.4,3,0.406,0.0,0.0,7.806,ok,,
P9__IN2__path_1,P9,IN2,path_1,1,davg,"6.08,5.05;5.50,4.25;3.65,4.25;0.00,5.00",,15,6.564,6.564,2,0.573,0.0,0.0,7.137,ok,,
P9__P1__path_1,P9,P1,path_1,1,davg,"6.08,5.05;5.50,4.25;4.85,4.00;3.05,3.10;2.98,0.95",,13,5.848,5.848,3,0.874,0.0,0.0,6.722,ok,,
P9__P2__path_1,P9,P2,path_1,1,davg,"6.08,5.05;5.50,4.25;4.85,4.00;4.52,2.35",,8,3.367,3.367,2,0.791,0.0,0.0,4.158,ok,,
P9__P3__path_1,P9,P3,path_1,1,davg,"6.08,5.05;5.50,4.25;3.65,4.25;3.58,5.25",,9,3.841,3.841,2,1.222,0.0,0.0,5.063,ok,,
P9__P4__path_1,P9,P4,path_1,1,davg,"6.08,5.05;5.50,4.25;4.85,4.00;4.85,2.75;4.98,1.35",,10,4.341,4.341,3,0.936,0.0,0.0,5.277,ok,,
P9__P5__path_1,P9,P5,path_1,1,davg,"6.08,5.05;5.62,4.10",,4,1.056,1.056,0,0.0,0.0,0.0,1.056,ok,,
P9__P6__path_1,P9,P6,path_1,1,davg,"6.08,5.05;6.15,5.70;7.98,5.72",,6,2.484,2.484,1,0.726,0.0,0.0,3.21,ok,,
P9__P7__path_1,P9,P7,path_1,1,davg,"6.08,5.05;6.15,4.15;6.50,4.00;7.28,1.00",,10,4.383,4.383,2,1.0,0.0,0.0,5.383,ok,,
P9__P8__path_1,P9,P8,path_1,1,davg,"6.08,5.05;6.15,4.15;8.80,3.20;8.82,2.35",,11,4.568,4.568,2,1.176,0.0,0.0,5.744,ok,,
P9__SORT1__path_1,P9,SORT1,path_1,1,davg,"6.08,5.05;6.15,4.15;8.80,3.20;9.72,2.16",,12,5.106,5.106,2,0.826,0.0,0.0,5.932,ok,,
P9__SORT2__path_1,P9,SORT2,path_1,1,davg,"6.08,5.05;6.15,4.15;10.36,4.05",,12,5.114,5.114,1,0.735,0.0,0.0,5.849,ok,,
P9__OUT1__path_1,P9,OUT1,path_1,1,davg,"6.08,5.05;6.15,4.15;8.80,3.20;12.00,2.00",,16,7.135,7.135,2,0.582,0.0,0.0,7.717,ok,,
P9__OUT2__path_1,P9,OUT2,path_1,1,davg,"6.08,5.05;6.15,4.15;12.00,4.00",,15,6.755,6.755,1,0.734,0.0,0.0,7.488,ok,,
P9__CHG1__path_1,P9,CHG1,path_1,1,davg,"6.08,5.05;5.50,4.25;4.85,4.00;3.05,3.10;1.00,0.00",,16,7.414,7.414,3,0.598,0.0,0.0,8.011,ok,,
P9__CHG2__path_1,P9,CHG2,path_1,1,davg,"6.08,5.05;6.15,4.15;8.80,3.20;9.00,0.00",,15,6.924,6.924,2,1.157,0.0,0.0,8.081,ok,,
SORT1__IN1__path_1,SORT1,IN1,path_1,1,davg,"9.72,2.16;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;0.00,1.00",,23,10.729,10.729,4,0.631,0.0,0.0,11.36,ok,,
SORT1__IN2__path_1,SORT1,IN2,path_1,1,davg,"9.72,2.16;8.80,3.20;6.50,4.00;3.65,4.25;0.00,5.00",,22,10.411,10.411,3,0.437,0.0,0.0,10.848,ok,,
SORT1__P1__path_1,SORT1,P1,path_1,1,davg,"9.72,2.16;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;2.98,0.95",,18,8.214,8.214,4,1.253,0.0,0.0,9.468,ok,,
SORT1__P2__path_1,SORT1,P2,path_1,1,davg,"9.72,2.16;8.80,3.20;7.35,3.20;6.50,2.75;5.05,2.75;4.52,2.35",,13,5.914,5.914,4,1.233,0.0,0.0,7.148,ok,,
SORT1__P3__path_1,SORT1,P3,path_1,1,davg,"9.72,2.16;8.80,3.20;6.50,4.00;3.65,4.25;3.58,5.25",,17,7.687,7.687,3,1.086,0.0,0.0,8.773,ok,,
SORT1__P4__path_1,SORT1,P4,path_1,1,davg,"9.72,2.16;8.80,0.55;6.75,0.40;5.05,0.40;4.98,1.35",,15,6.562,6.562,3,1.274,0.0,0.0,7.837,ok,,
SORT1__P5__path_1,SORT1,P5,path_1,1,davg,"9.72,2.16;8.80,3.20;6.50,4.00;5.62,4.10",,11,4.709,4.709,2,0.367,0.0,0.0,5.076,ok,,
SORT1__P6__path_1,SORT1,P6,path_1,1,davg,"9.72,2.16;8.20,5.70;7.98,5.72",,10,4.073,4.073,1,0.537,0.0,0.0,4.611,ok,,
SORT1__P7__path_1,SORT1,P7,path_1,1,davg,"9.72,2.16;8.80,0.55;7.35,0.55;7.28,1.00",,9,3.76,3.76,2,1.234,0.0,0.0,4.994,ok,,
SORT1__P8__path_1,SORT1,P8,path_1,1,davg,"9.72,2.16;8.82,2.35",,3,0.92,0.92,0,0.0,0.0,0.0,0.92,ok,,
SORT1__P9__path_1,SORT1,P9,path_1,1,davg,"9.72,2.16;8.80,3.20;6.15,4.15;6.08,5.05",,12,5.106,5.106,2,0.826,0.0,0.0,5.932,ok,,
SORT1__SORT2__path_1,SORT1,SORT2,path_1,1,davg,"9.72,2.16;10.36,4.05",,5,1.995,1.995,0,0.0,0.0,0.0,1.995,ok,,
SORT1__OUT1__path_1,SORT1,OUT1,path_1,1,davg,"9.72,2.16;12.00,2.00",,6,2.286,2.286,0,0.0,0.0,0.0,2.286,ok,,
SORT1__OUT2__path_1,SORT1,OUT2,path_1,1,davg,"9.72,2.16;12.00,4.00",,7,2.93,2.93,0,0.0,0.0,0.0,2.93,ok,,
SORT1__CHG1__path_1,SORT1,CHG1,path_1,1,davg,"9.72,2.16;8.80,0.55;6.75,0.40;1.00,0.00",,21,9.674,9.674,2,0.491,0.0,0.0,10.165,ok,,
SORT1__CHG2__path_1,SORT1,CHG2,path_1,1,davg,"9.72,2.16;9.00,0.00",,6,2.277,2.277,0,0.0,0.0,0.0,2.277,ok,,
SORT2__IN1__path_1,SORT2,IN1,path_1,1,davg,"10.36,4.05;4.85,4.00;3.05,3.10;0.00,1.00",,24,11.226,11.226,2,0.297,0.0,0.0,11.523,ok,,
SORT2__IN2__path_1,SORT2,IN2,path_1,1,davg,"10.36,4.05;6.15,4.15;3.65,4.25;0.00,5.00",,22,10.439,10.439,2,0.089,0.0,0.0,10.529,ok,,
SORT2__P1__path_1,SORT2,P1,path_1,1,davg,"10.36,4.05;4.85,4.00;3.05,3.10;2.98,0.95",,21,9.674,9.674,2,0.765,0.0,0.0,10.438,ok,,
SORT2__P2__path_1,SORT2,P2,path_1,1,davg,"10.36,4.05;7.35,3.20;6.50,2.75;5.05,2.75;4.52,2.35",,14,6.203,6.203,3,0.673,0.0,0.0,6.876,ok,,
SORT2__P3__path_1,SORT2,P3,path_1,1,davg,"10.36,4.05;6.15,4.15;3.65,4.25;3.58,5.25",,17,7.716,7.716,2,0.739,0.0,0.0,8.454,ok,,
SORT2__P4__path_1,SORT2,P4,path_1,1,davg,"10.36,4.05;7.35,3.20;6.50,2.75;5.05,2.75;4.98,1.35",,15,6.941,6.941,3,1.11,0.0,0.0,8.051,ok,,
SORT2__P5__path_1,SORT2,P5,path_1,1,davg,"10.36,4.05;5.62,4.10",,11,4.74,4.74,0,0.0,0.0,0.0,4.74,ok,,
SORT2__P6__path_1,SORT2,P6,path_1,1,davg,"10.36,4.05;8.20,5.70;7.98,5.72",,7,2.939,2.939,1,0.281,0.0,0.0,3.22,ok,,
SORT2__P7__path_1,SORT2,P7,path_1,1,davg,"10.36,4.05;7.35,3.20;7.28,1.00",,12,5.329,5.329,1,0.632,0.0,0.0,5.961,ok,,
SORT2__P8__path_1,SORT2,P8,path_1,1,davg,"10.36,4.05;8.82,2.35",,6,2.294,2.294,0,0.0,0.0,0.0,2.294,ok,,
SORT2__P9__path_1,SORT2,P9,path_1,1,davg,"10.36,4.05;6.15,4.15;6.08,5.05",,12,5.114,5.114,1,0.735,0.0,0.0,5.849,ok,,
SORT2__SORT1__path_1,SORT2,SORT1,path_1,1,davg,"10.36,4.05;9.72,2.16",,5,1.995,1.995,0,0.0,0.0,0.0,1.995,ok,,
SORT2__OUT1__path_1,SORT2,OUT1,path_1,1,davg,"10.36,4.05;12.00,2.00",,7,2.625,2.625,0,0.0,0.0,0.0,2.625,ok,,
SORT2__OUT2__path_1,SORT2,OUT2,path_1,1,davg,"10.36,4.05;12.00,4.00",,5,1.641,1.641,0,0.0,0.0,0.0,1.641,ok,,
SORT2__CHG1__path_1,SORT2,CHG1,path_1,1,davg,"10.36,4.05;4.85,4.00;3.05,3.10;1.00,0.00",,24,11.239,11.239,2,0.489,0.0,0.0,11.728,ok,,
SORT2__CHG2__path_1,SORT2,CHG2,path_1,1,davg,"10.36,4.05;9.00,0.00",,10,4.272,4.272,0,0.0,0.0,0.0,4.272,ok,,
OUT1__IN1__path_1,OUT1,IN1,path_1,1,davg,"12.00,2.00;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;0.00,1.00",,26,12.388,12.388,4,0.318,0.0,0.0,12.705,ok,,
OUT1__IN2__path_1,OUT1,IN2,path_1,1,davg,"12.00,2.00;8.80,3.20;6.50,4.00;3.65,4.25;0.00,5.00",,26,12.44,12.44,3,0.193,0.0,0.0,12.633,ok,,
OUT1__P1__path_1,OUT1,P1,path_1,1,davg,"12.00,2.00;8.80,0.55;6.75,0.40;4.50,0.35;3.05,0.35;2.98,0.95",,21,9.873,9.873,4,0.94,0.0,0.0,10.813,ok,,
OUT1__P2__path_1,OUT1,P2,path_1,1,davg,"12.00,2.00;8.80,3.20;7.35,3.20;6.50,2.75;5.05,2.75;4.52,2.35",,17,7.943,7.943,4,0.99,0.0,0.0,8.933,ok,,
OUT1__P3__path_1,OUT1,P3,path_1,1,davg,"12.00,2.00;8.80,3.20;6.50,4.00;3.65,4.25;3.58,5.25",,21,9.716,9.716,3,0.842,0.0,0.0,10.558,ok,,
OUT1__P4__path_1,OUT1,P4,path_1,1,davg,"12.00,2.00;8.80,0.55;6.75,0.40;5.05,0.40;4.98,1.35",,18,8.221,8.221,3,0.961,0.0,0.0,9.183,ok,,
OUT1__P5__path_1,OUT1,P5,path_1,1,davg,"12.00,2.00;8.80,3.20;6.50,4.00;5.62,4.10",,15,6.738,6.738,2,0.123,0.0,0.0,6.861,ok,,
OUT1__P6__path_1,OUT1,P6,path_1,1,davg,"12.00,2.00;8.20,5.70;7.98,5.72",,13,5.525,5.525,1,0.341,0.0,0.0,5.865,ok,,
OUT1__P7__path_1,OUT1,P7,path_1,1,davg,"12.00,2.00;8.80,0.55;7.35,0.55;7.28,1.00",,12,5.419,5.419,2,0.921,0.0,0.0,6.34,ok,,
OUT1__P8__path_1,OUT1,P8,path_1,1,davg,"12.00,2.00;8.82,2.35",,8,3.199,3.199,0,0.0,0.0,0.0,3.199,ok,,
OUT1__P9__path_1,OUT1,P9,path_1,1,davg,"12.00,2.00;8.80,3.20;6.15,4.15;6.08,5.05",,16,7.135,7.135,2,0.582,0.0,0.0,7.717,ok,,
OUT1__SORT1__path_1,OUT1,SORT1,path_1,1,davg,"12.00,2.00;9.72,2.16",,6,2.286,2.286,0,0.0,0.0,0.0,2.286,ok,,
OUT1__SORT2__path_1,OUT1,SORT2,path_1,1,davg,"12.00,2.00;10.36,4.05",,7,2.625,2.625,0,0.0,0.0,0.0,2.625,ok,,
OUT1__OUT2__path_1,OUT1,OUT2,path_1,1,davg,"12.00,2.00;12.00,4.00",,5,2.0,2.0,0,0.0,0.0,0.0,2.0,ok,,
OUT1__CHG1__path_1,OUT1,CHG1,path_1,1,davg,"12.00,2.00;8.80,0.55;6.75,0.40;1.00,0.00",,24,11.333,11.333,2,0.178,0.0,0.0,11.511,ok,,
OUT1__CHG2__path_1,OUT1,CHG2,path_1,1,davg,"12.00,2.00;9.00,0.00",,9,3.606,3.606,0,0.0,0.0,0.0,3.606,ok,,
OUT2__IN1__path_1,OUT2,IN1,path_1,1,davg,"12.00,4.00;4.85,4.00;3.05,3.10;0.00,1.00",,27,12.866,12.866,2,0.301,0.0,0.0,13.167,ok,,
OUT2__IN2__path_1,OUT2,IN2,path_1,1,davg,"12.00,4.00;6.15,4.15;3.65,4.25;0.00,5.00",,26,12.08,12.08,2,0.089,0.0,0.0,12.169,ok,,
OUT2__P1__path_1,OUT2,P1,path_1,1,davg,"12.00,4.00;4.85,4.00;3.05,3.10;2.98,0.95",,24,11.314,11.314,2,0.769,0.0,0.0,12.083,ok,,
OUT2__P2__path_1,OUT2,P2,path_1,1,davg,"12.00,4.00;7.35,3.20;6.50,2.75;5.05,2.75;4.52,2.35",,17,7.794,7.794,3,0.725,0.0,0.0,8.519,ok,,
OUT2__P3__path_1,OUT2,P3,path_1,1,davg,"12.00,4.00;6.15,4.15;3.65,4.25;3.58,5.25",,20,9.356,9.356,2,0.738,0.0,0.0,10.094,ok,,
OUT2__P4__path_1,OUT2,P4,path_1,1,davg,"12.00,4.00;7.35,3.20;6.50,2.75;5.05,2.75;4.98,1.35",,19,8.532,8.532,3,1.162,0.0,0.0,9.694,ok,,
OUT2__P5__path_1,OUT2,P5,path_1,1,davg,"12.00,4.00;5.62,4.10",,14,6.381,6.381,0,0.0,0.0,0.0,6.381,ok,,
OUT2__P6__path_1,OUT2,P6,path_1,1,davg,"12.00,4.00;8.20,5.70;7.98,5.72",,10,4.384,4.384,1,0.165,0.0,0.0,4.549,ok,,
OUT2__P7__path_1,OUT2,P7,path_1,1,davg,"12.00,4.00;7.35,3.20;7.28,1.00",,15,6.919,6.919,1,0.684,0.0,0.0,7.604,ok,,
OUT2__P8__path_1,OUT2,P8,path_1,1,davg,"12.00,4.00;8.82,2.35",,9,3.583,3.583,0,0.0,0.0,0.0,3.583,ok,,
OUT2__P9__path_1,OUT2,P9,path_1,1,davg,"12.00,4.00;6.15,4.15;6.08,5.05",,15,6.755,6.755,1,0.734,0.0,0.0,7.488,ok,,
OUT2__SORT1__path_1,OUT2,SORT1,path_1,1,davg,"12.00,4.00;9.72,2.16",,7,2.93,2.93,0,0.0,0.0,0.0,2.93,ok,,
OUT2__SORT2__path_1,OUT2,SORT2,path_1,1,davg,"12.00,4.00;10.36,4.05",,5,1.641,1.641,0,0.0,0.0,0.0,1.641,ok,,
OUT2__OUT1__path_1,OUT2,OUT1,path_1,1,davg,"12.00,4.00;12.00,2.00",,5,2.0,2.0,0,0.0,0.0,0.0,2.0,ok,,
OUT2__CHG1__path_1,OUT2,CHG1,path_1,1,davg,"12.00,4.00;8.80,0.55;6.75,0.40;1.00,0.00",,27,12.525,12.525,2,0.377,0.0,0.0,12.902,ok,,
OUT2__CHG2__path_1,OUT2,CHG2,path_1,1,davg,"12.00,4.00;9.00,0.00",,11,5.0,5.0,0,0.0,0.0,0.0,5.0,ok,,
CHG1__IN1__path_1,CHG1,IN1,path_1,1,davg,"1.00,0.00;0.00,1.00",,4,1.414,1.414,0,0.0,0.0,0.0,1.414,ok,,
CHG1__IN2__path_1,CHG1,IN2,path_1,1,davg,"1.00,0.00;0.00,5.00",,12,5.099,5.099,0,0.0,0.0,0.0,5.099,ok,,
CHG1__P1__path_1,CHG1,P1,path_1,1,davg,"1.00,0.00;2.98,0.95",,6,2.196,2.196,0,0.0,0.0,0.0,2.196,ok,,
CHG1__P2__path_1,CHG1,P2,path_1,1,davg,"1.00,0.00;4.50,0.35;4.52,2.35",,13,5.518,5.518,1,0.731,0.0,0.0,6.248,ok,,
CHG1__P3__path_1,CHG1,P3,path_1,1,davg,"1.00,0.00;3.58,5.25",,13,5.85,5.85,0,0.0,0.0,0.0,5.85,ok,,
CHG1__P4__path_1,CHG1,P4,path_1,1,davg,"1.00,0.00;4.50,0.35;4.98,1.35",,11,4.627,4.627,1,0.512,0.0,0.0,5.138,ok,,
CHG1__P5__path_1,CHG1,P5,path_1,1,davg,"1.00,0.00;3.05,3.10;4.85,4.00;5.62,4.10",,15,6.505,6.505,2,0.429,0.0,0.0,6.934,ok,,
CHG1__P6__path_1,CHG1,P6,path_1,1,davg,"1.00,0.00;3.05,3.10;4.85,4.00;5.50,4.25;6.15,5.70;7.98,5.72",,21,9.845,9.845,4,1.27,0.0,0.0,11.115,ok,,
CHG1__P7__path_1,CHG1,P7,path_1,1,davg,"1.00,0.00;6.75,0.40;7.28,1.00",,15,6.564,6.564,1,0.389,0.0,0.0,6.953,ok,,
CHG1__P8__path_1,CHG1,P8,path_1,1,davg,"1.00,0.00;6.75,0.40;8.80,0.55;8.82,2.35",,21,9.619,9.619,2,0.745,0.0,0.0,10.365,ok,,
CHG1__P9__path_1,CHG1,P9,path_1,1,davg,"1.00,0.00;3.05,3.10;4.85,4.00;5.50,4.25;6.08,5.05",,16,7.414,7.414,3,0.598,0.0,0.0,8.011,ok,,
CHG1__SORT1__path_1,CHG1,SORT1,path_1,1,davg,"1.00,0.00;6.75,0.40;8.80,0.55;9.72,2.16",,21,9.674,9.674,2,0.491,0.0,0.0,10.165,ok,,
CHG1__SORT2__path_1,CHG1,SORT2,path_1,1,davg,"1.00,0.00;3.05,3.10;4.85,4.00;10.36,4.05",,24,11.239,11.239,2,0.489,0.0,0.0,11.728,ok,,
CHG1__OUT1__path_1,CHG1,OUT1,path_1,1,davg,"1.00,0.00;6.75,0.40;8.80,0.55;12.00,2.00",,24,11.333,11.333,2,0.178,0.0,0.0,11.511,ok,,
CHG1__OUT2__path_1,CHG1,OUT2,path_1,1,davg,"1.00,0.00;6.75,0.40;8.80,0.55;12.00,4.00",,27,12.525,12.525,2,0.377,0.0,0.0,12.902,ok,,
CHG1__CHG2__path_1,CHG1,CHG2,path_1,1,davg,"1.00,0.00;9.00,0.00",,17,8.0,8.0,0,0.0,0.0,0.0,8.0,ok,,
CHG2__IN1__path_1,CHG2,IN1,path_1,1,davg,"9.00,0.00;3.05,0.35;0.00,1.00",,20,9.079,9.079,1,0.076,0.0,0.0,9.154,ok,,
CHG2__IN2__path_1,CHG2,IN2,path_1,1,davg,"9.00,0.00;3.05,0.35;0.00,5.00",,25,11.521,11.521,1,0.466,0.0,0.0,11.987,ok,,
CHG2__P1__path_1,CHG2,P1,path_1,1,davg,"9.00,0.00;3.05,0.35;2.98,0.95",,15,6.564,6.564,1,0.698,0.0,0.0,7.262,ok,,
CHG2__P2__path_1,CHG2,P2,path_1,1,davg,"9.00,0.00;5.05,0.40;4.52,2.35",,13,5.991,5.991,1,0.602,0.0,0.0,6.593,ok,,
CHG2__P3__path_1,CHG2,P3,path_1,1,davg,"9.00,0.00;5.05,0.40;4.50,3.10;3.65,4.25;3.58,5.25",,20,9.158,9.158,3,1.136,0.0,0.0,10.294,ok,,
CHG2__P4__path_1,CHG2,P4,path_1,1,davg,"9.00,0.00;5.05,0.40;4.98,1.35",,11,4.923,4.923,1,0.698,0.0,0.0,5.621,ok,,
CHG2__P5__path_1,CHG2,P5,path_1,1,davg,"9.00,0.00;8.80,3.20;6.50,4.00;5.62,4.10",,15,6.527,6.527,2,0.698,0.0,0.0,7.225,ok,,
CHG2__P6__path_1,CHG2,P6,path_1,1,davg,"9.00,0.00;8.80,3.20;8.20,5.70;7.98,5.72",,13,5.998,5.998,2,0.709,0.0,0.0,6.707,ok,,
CHG2__P7__path_1,CHG2,P7,path_1,1,davg,"9.00,0.00;7.35,0.55;7.28,1.00",,6,2.195,2.195,1,0.547,0.0,0.0,2.742,ok,,
CHG2__P8__path_1,CHG2,P8,path_1,1,davg,"9.00,0.00;8.82,2.35",,6,2.357,2.357,0,0.0,0.0,0.0,2.357,ok,,
CHG2__P9__path_1,CHG2,P9,path_1,1,davg,"9.00,0.00;8.80,3.20;6.15,4.15;6.08,5.05",,15,6.924,6.924,2,1.157,0.0,0.0,8.081,ok,,
CHG2__SORT1__path_1,CHG2,SORT1,path_1,1,davg,"9.00,0.00;9.72,2.16",,6,2.277,2.277,0,0.0,0.0,0.0,2.277,ok,,
CHG2__SORT2__path_1,CHG2,SORT2,path_1,1,davg,"9.00,0.00;10.36,4.05",,10,4.272,4.272,0,0.0,0.0,0.0,4.272,ok,,
CHG2__OUT1__path_1,CHG2,OUT1,path_1,1,davg,"9.00,0.00;12.00,2.00",,9,3.606,3.606,0,0.0,0.0,0.0,3.606,ok,,
CHG2__OUT2__path_1,CHG2,OUT2,path_1,1,davg,"9.00,0.00;12.00,4.00",,11,5.0,5.0,0,0.0,0.0,0.0,5.0,ok,,
CHG2__CHG1__path_1,CHG2,CHG1,path_1,1,davg,"9.00,0.00;1.00,0.00",,17,8.0,8.0,0,0.0,0.0,0.0,8.0,ok,,
